#     r             phi             Phi             Pi             Ricci
0.6754424205    0.0245875573    0.0548193542    0.0921685366  -12.0042632477
0.6911503838    0.0252604027    0.0482062236    0.0831080043  -12.0028844517
0.7068583471    0.0261012279    0.0374343699    0.0753083297  -12.0022081985
0.7225663103    0.0264359835    0.0264130042    0.0628701347  -12.0008640459
0.7382742736    0.0269307605    0.0132377231    0.0497875349  -11.9996169357
0.7539822369    0.0268517204   -0.0015131809    0.0343978059  -11.9983698802
0.7696902001    0.0268831513   -0.0160490498    0.0170928234  -11.9971448331
0.7853981634    0.0263474900   -0.0338092255    0.0001890728  -11.9960811568
0.8011061267    0.0258209872   -0.0486465299   -0.0199476941  -11.9954278942
0.8168140899    0.0248192072   -0.0670892462   -0.0371273876  -11.9946118911
0.8325220532    0.0237133134   -0.0805400887   -0.0584250247  -11.9949689692
0.8482300165    0.0222889645   -0.0977837882   -0.0745395986  -11.9945123370
0.8639379797    0.0206413448   -0.1087688045   -0.0942990242  -11.9958194014
0.8796459430    0.0188718917   -0.1229282084   -0.1077294201  -11.9957296402
0.8953539063    0.0167794411   -0.1304059833   -0.1242126130  -11.9976423596
0.9110618695    0.0147750669   -0.1394661015   -0.1341355250  -11.9980325693
0.9267698328    0.0123979843   -0.1425801158   -0.1457755581  -12.0000484586
0.9424777961    0.0102957804   -0.1459695873   -0.1514787717  -12.0007062768
0.9581857593    0.0078122145   -0.1448088796   -0.1570461695  -12.0021936772
0.9738937226    0.0057464753   -0.1423258587   -0.1581914820  -12.0028741576
0.9896016859    0.0033409157   -0.1371015264   -0.1579335776  -12.0036521083
1.0053096491    0.0014393038   -0.1291196246   -0.1550164445  -12.0042068292
1.0210176124   -0.0007154969   -0.1203797588   -0.1494810280  -12.0042753679
1.0367255757   -0.0023425379   -0.1084883880   -0.1429733751  -12.0044609430
1.0524335390   -0.0041237601   -0.0973381671   -0.1331270374  -12.0039714781
1.0681415022   -0.0054005066   -0.0830351168   -0.1236943295  -12.0037755572
1.0838494655   -0.0067323853   -0.0703770729   -0.1112852904  -12.0030655665
1.0995574288   -0.0076114676   -0.0550610379   -0.1000367682  -12.0026374478
1.1152653920   -0.0084621788   -0.0418840062   -0.0863872688  -12.0019187790
1.1309733553   -0.0089272924   -0.0271520769   -0.0743019753  -12.0014123523
1.1466813186   -0.0093151864   -0.0147919883   -0.0603449282  -12.0008101501
1.1623892818   -0.0093919964   -0.0015749221   -0.0484910986  -12.0003869812
1.1780972451   -0.0093646641    0.0088691064   -0.0353022767  -11.9999907155
1.1938052084   -0.0091133652    0.0200763412   -0.0249871748  -11.9997276910
1.2095131716   -0.0087339472    0.0277772302   -0.0132948155  -11.9995463964
1.2252211349   -0.0082407178    0.0362335992   -0.0054064056  -11.9994340685
1.2409290982   -0.0075956351    0.0405892219    0.0042891332  -11.9994276607
1.2566370614   -0.0069655698    0.0457245178    0.0094586774  -11.9994240013
1.2723450247   -0.0061591570    0.0468200260    0.0163942492  -11.9995158926
1.2880529880   -0.0054946753    0.0485049974    0.0189099814  -11.9995688213
1.3037609512   -0.0046353276    0.0470700623    0.0225438737  -11.9996764070
1.3194689145   -0.0040159257    0.0454240809    0.0228831131  -11.9997451170
1.3351768778   -0.0032082880    0.0423060544    0.0234054500  -11.9998235069
1.3508848410   -0.0026868418    0.0379661056    0.0223283411  -11.9998814142
1.3665928043   -0.0020155476    0.0339753768    0.0204345521  -11.9999231702
1.3823007676   -0.0016194738    0.0282654283    0.0186004471  -11.9999577071
1.3980087308   -0.0011275630    0.0242103131    0.0152534848  -11.9999740207
1.4137166941   -0.0008588844    0.0185712542    0.0131901934  -11.9999886853
1.4294246574   -0.0005441298    0.0150960682    0.0095180185  -11.9999933645
1.4451326207   -0.0003846274    0.0105059730    0.0077725206  -11.9999978386
1.4608405839   -0.0002140750    0.0079526806    0.0047128244  -11.9999988285
1.4765485472   -0.0001347866    0.0048560435    0.0036919248  -11.9999997511
1.4922565105   -0.0000615179    0.0032656121    0.0016571452  -11.9999998874
1.5079644737   -0.0000321944    0.0016539097    0.0013976377  -11.9999999897
1.5236724370   -0.0000095587    0.0008303994    0.0002991347  -11.9999999970
1.5393804003   -0.0000061066    0.0003042644    0.0005723185  -12.0000000003
1.5550883635    0.0000000000    0.0000000000    0.0000000000  -12.0000000000
