#  time               r              phi             Phi             Pi            delta              A            Ricci
1.2959069696    1.4137166941    0.0004790887   -0.0093969543   -0.0031613039   -7.4783144318    0.9987374639  -11.9999952540
1.3155419237    0.1413716694    1.7677749494   -8.5034802614   -3.7585485773   -0.5930597736    0.6376510901   73.2272590170
1.3155419237    0.2827433388    0.2049085210   -6.8984745249   -6.9463590919   -7.2894699300    0.0399975710  -11.8809551951
1.3155419237    0.4241150082    0.0425934117   -0.2259827214   -0.4675504454   -7.5492032943    0.4262287642  -12.1113747168
1.3155419237    0.5654866776    0.0252208220   -0.0653212658   -0.2449262162   -7.5567785258    0.6465649268  -12.0488234461
1.3155419237    0.7068583471    0.0188254354   -0.0328850975   -0.1606953506   -7.5595892825    0.7854285361  -12.0210550930
1.3155419237    0.8482300165    0.0147332783   -0.0272125134   -0.1098552349   -7.5609227601    0.8769548330  -12.0078205208
1.3155419237    0.9896016859    0.0107921807   -0.0289998496   -0.0720834688   -7.5615395241    0.9364040575  -12.0019925900
1.3155419237    1.1309733553    0.0065693013   -0.0300440667   -0.0422370786   -7.5617926191    0.9724379350  -12.0001381170
1.3155419237    1.2723450247    0.0026677014   -0.0233222117   -0.0190626435   -7.5618762916    0.9913614169  -11.9999405841
1.3155419237    1.4137166941    0.0004125003   -0.0081712731   -0.0036050702   -7.5618900421    0.9987372860  -11.9999966909
1.3351768778    0.1413716694    1.7677324290   -8.5036352806   -3.7606341255   -0.5932309081    0.6375867549   73.2030153319
1.3351768778    0.2827433388    0.2007589981   -6.9866812456   -7.0514349682   -7.3693183198    0.0393855179  -11.9048143599
1.3351768778    0.4241150082    0.0387340916   -0.2194331164   -0.4659455534   -7.6327566206    0.4259551776  -12.1135582901
1.3351768778    0.5654866776    0.0221235487   -0.0606873043   -0.2451022262   -7.6402263814    0.6464514740  -12.0500186791
1.3351768778    0.7068583471    0.0163388500   -0.0287638079   -0.1622118370   -7.6430343022    0.7853695174  -12.0220786619
1.3351768778    0.8482300165    0.0128190189   -0.0232132277   -0.1124609017   -7.6443913096    0.8769131070  -12.0086300693
1.3351768778    0.9896016859    0.0094347494   -0.0251536478   -0.0754412394   -7.6450315703    0.9363726154  -12.0024995345
